"Brooklyn Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011. ",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,2, ,B1, 8681 14TH   AVENUE                        ,            ,11228,2,0,2,"2,320","2,700",1930, 1 , B1 ,"$822,000",6/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6357,21, ,B1, 8629 14TH AVENUE                          ,            ,11228,2,0,2,"2,320","2,700",1930, 1 , B1 ,"$850,000",1/11/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6358,1, ,B1, 83 BAY 7TH   STREET                       ,            ,11228,2,0,2,"1,933","4,080",1930, 1 , B1 ,"$938,000",3/3/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6358,18, ,B1, 35 BAY 7TH STREET                         ,            ,11228,2,0,2,"2,320","2,960",1930, 1 , B1 ,"$840,000",7/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6359,56, ,B1, 8644 15TH   AVENUE                        ,            ,11228,2,0,2,"2,320","3,160",1930, 1 , B1 ,"$650,000",8/30/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6360,21, ,B1, 8649 15TH AVENUE                          ,            ,11228,2,0,2,"1,547","2,224",1930, 1 , B1 ,$0,5/4/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6360,69, ,B3, 60 BAY 10TH STREET                        ,            ,11228,2,0,2,"1,547","1,428",1930, 1 , B3 ,"$586,000",9/27/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,2, ,B1, 1543 BENSON AVENUE                        ,            ,11228,2,0,2,"2,383","2,242",1930, 1 , B1 ,$0,3/30/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,26, ,B3, 35 BAY 10TH   STREET                      ,            ,11228,2,0,2,"2,103","1,622",1930, 1 , B3 ,$0,9/6/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6361,62, ,B1, 52 BAY 11TH STREET                        ,            ,11228,2,0,2,"2,320","2,160",1930, 1 , B1 ,"$755,000",10/21/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,25, ,B3, 8637 16TH   AVENUE                        ,            ,11214,2,0,2,"2,058","1,492",1930, 1 , B3 ,"$555,000",7/13/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,52, ,B3, 22 BAY 13TH   STREET                      ,            ,11214,2,0,2,"4,333","2,134",1901, 1 , B3 ,$0,10/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6363,66, ,B2, 54 BAY 13TH   STREET                      ,            ,11214,2,0,2,"4,333","2,200",1899, 1 , B2 ,$0,8/3/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6364,10, ,B1, 75 BAY 13TH STREET                        ,            ,11214,2,0,2,944,"1,792",1930, 1 , B1 ,"$505,000",7/21/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,6, ,B1, 1663 BENSON AVENUE                        ,            ,11214,2,0,2,"2,520","2,048",1910, 1 , B1 ,$0,10/6/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6365,59, ,B1, 8638 17TH   AVENUE                        ,            ,11214,2,0,2,"2,763","2,400",1950, 1 , B1 ,"$848,000",2/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,4, ,B3, 73 BAY 17TH   STREET                      ,            ,11214,2,0,2,"3,093","1,490",1915, 1 , B3 ,"$600,000",5/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,48, ,S2, 8644 18TH AVENUE                          ,            ,11214,2,1,3,"2,626","3,600",1923, 1 , S2 ,$0,11/8/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6368,48, ,S2, 8644 18TH   AVENUE                        ,            ,11214,2,1,3,"2,626","3,600",1923, 1 , S2 ,"$738,000",5/11/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6369,82, ,B3, 76 BAY 19TH STREET                        ,            ,11214,2,0,2,965,"1,200",1930, 1 , B3 ,"$550,000",3/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,89, ,B2, 88 BAY 20TH STREET                        ,            ,11214,2,0,2,"8,689","2,051",2011, 1 , B2 ,$0,7/22/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6370,89, ,B2, 88 BAY 20TH   STREET                      ,            ,11214,2,0,2,"8,689","2,051",2011, 1 , B2 ,"$1,480,000",1/19/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6371,30, ,B3, 47 BAY 20TH   STREET                      ,            ,11214,2,0,2,"2,175","2,800",1930, 1 , B3 ,"$635,000",7/26/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6372,86, ,B3, 84 BAY 22                                 ,            ,11214,2,0,2,"2,525","2,062",1940, 1 , B3 ,"$390,000",3/15/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6372,86, ,B3, 84 BAY 22                                 ,            ,11214,2,0,2,"2,525","2,062",1940, 1 , B3 ,$0,3/15/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6391,6, ,B1, 1409 BATH AVENUE                          ,            ,11228,2,0,2,"1,933","2,059",1955, 1 , B1 ,"$670,000",9/14/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6391,16, ,B9, 8745 14TH AVENUE                          ,            ,11228,2,0,2,"2,288","1,701",1950, 1 , B9 ,$10,7/14/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6392,8, ,B2, 1429 BATH AVENUE                          ,            ,11228,2,0,2,"1,933","1,840",1930, 1 , B2 ,$0,4/12/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6393,27, ,B1, 119 BAY 8TH   STREET                      ,            ,11228,2,0,2,"2,296","2,970",1940, 1 , B1 ,$0,2/14/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,2, ,B3, 166 BAY 10TH   STREET                     ,            ,11228,2,0,2,"1,932","1,836",1940, 1 , B3 ,"$651,000",7/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,16, ,B9, 8745 15TH   AVENUE                        ,            ,11228,2,0,2,"3,867","2,400",1955, 1 , B9 ,$0,8/12/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6394,16, ,B9, 8745 15TH AVENUE                          ,            ,11228,2,0,2,"3,867","2,400",1955, 1 , B9 ,$0,2/7/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6395,31, ,B3, 109 BAY 10TH STREET                       ,            ,11228,2,0,2,"1,933","1,496",1925, 1 , B3 ,$0,2/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,11, ,B3, 157 BAY 11 STREET                         ,            ,11228,2,0,2,"2,148","2,448",1960, 1 , B3 ,"$535,000",5/18/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6396,21, ,B1, 133 BAY 11TH STREET                       ,            ,11228,2,0,2,"1,949","2,235",1965, 1 , B1 ,"$665,000",1/13/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,30, ,B1, 111 BAY 13TH STREET                       ,            ,11214,2,0,2,"2,388","2,346",1960, 1 , B1 ,$10,2/11/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,54, ,B1, 122 BAY 14TH   STREET                     ,            ,11214,2,0,2,"2,167","2,448",1925, 1 , B1 ,$0,12/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6398,55, ,B1, 124 BAY 14TH   STREET                     ,            ,11214,2,0,2,"2,167","2,448",1925, 1 , B1 ,"$660,000",10/3/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6401,9, ,B3, 1727 BATH AVENUE                          ,            ,11214,2,0,2,"1,112","1,520",1920, 1 , B3 ,$0,2/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6405,15, ,B2, 133 BAY 20TH   STREET                     ,            ,11214,2,0,2,"5,920","3,408",1920, 1 , B2 ,$0,9/9/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6408,34, ,B2, 8726 20TH AVENUE                          ,            ,11214,2,0,2,"4,800","2,711",1899, 1 , B2 ,$0,2/8/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6410,30, ,B3, 103 BAY 25TH   STREET                     ,            ,11214,2,0,2,"2,900","2,080",1925, 1 , B3 ,"$510,000",10/28/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1B,6424,32, ,V0, 8785 14TH   AVENUE                        ,            ,11228,2,0,2,"5,800",0,2011, 1 , B2 ,$0,7/11/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1B,6424,32, ,V0, 8785 14TH   AVENUE                        ,            ,11228,2,0,2,"5,800",0,2011, 1 , B2 ,"$1,100,000",1/25/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6424,72, ,B3, 236 BAY 7 STREET                          ,            ,11228,2,0,2,"1,740","1,931",1935, 1 , B3 ,"$620,000",12/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6426,38, ,B1, 175 BAY 8TH STREET                        ,            ,11228,2,0,2,"1,933","2,055",1955, 1 , B1 ,"$685,000",11/9/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6426,57, ,B2, 8804 15TH   AVENUE                        ,            ,11228,2,0,2,"3,867","2,244",1920, 1 , B2 ,$0,7/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6427,40, ,B1, 172 BAY 10TH STREET                       ,            ,11228,2,0,2,"2,147","1,635",1955, 1 , B1 ,"$639,000",8/12/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6428,14, ,B2, 227 BAY 10TH STREET                       ,            ,11228,2,0,2,"3,867","3,528",1920, 1 , B2 ,$0,8/16/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6429,7, ,B3, 241 BAY 11TH   STREET                     ,            ,11228,2,0,2,"1,154","1,620",1935, 1 , B3 ,"$582,000",5/10/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6429,32, ,B1, 183 BAY 11TH                              ,            ,11228,2,0,2,"1,933","3,100",1910, 1 , B1 ,"$480,000",6/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6433,14, ,B1, 8817 17TH AVENUE                          ,            ,11214,2,0,2,"1,933","3,000",1901, 1 , B1 ,$10,3/7/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6436,32, ,B3, 1810 BATH AVENUE                          ,            ,11214,2,0,2,"2,000","2,640",1920, 1 , B3 ,"$637,000",9/15/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6438,13, ,B9, 211 BAY 20TH   STREET                     ,            ,11214,2,0,2,"1,890","3,300",1901, 1 , B9 ,"$590,000",12/23/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6443,17, ,B3, 199 BAY 25                                ,2,11214,2,0,2,"2,900","2,542",1920, 1 , B3 ,"$735,000",6/16/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6444,13, ,B1, 207 BAY 26TH STREET                       ,            ,11214,2,0,2,"2,046","1,782",1955, 1 , B1 ,"$500,000",4/22/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6444,46, ,B2, 8790 21ST   AVENUE                        ,            ,11214,2,0,2,"3,222","2,640",1920, 1 , B2 ,"$825,000",4/29/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,2, ,B3, 8941 15TH   AVENUE                        ,            ,11228,2,0,2,"1,740","2,052",1960, 1 , B3 ,$0,3/19/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,8, ,B9, 8929 15TH   AVENUE                        ,            ,11228,2,0,2,"1,740","1,674",1960, 1 , B9 ,"$640,000",5/26/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,76, ,B9, 324 BAY 10TH   STREET                     ,            ,11228,2,0,2,"2,755","3,120",2009, 1 , B9 ,$0,5/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,86, ,B1, 319 BAY 10TH STREET                       ,            ,11228,2,0,2,"1,933","1,860",1955, 1 , B1 ,"$695,000",1/20/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,236, ,B9, 8916 16TH   AVENUE                        ,            ,11214,2,0,2,"2,200","1,860",1950, 1 , B9 ,"$640,000",3/1/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6460,308, ,B3, 334 BAY 10TH   STREET                     ,            ,11228,2,0,2,"1,740","1,876",1950, 1 , B3 ,"$605,000",3/21/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,7, ,B1, 242 BAY 13TH STREET                       ,            ,11214,2,0,2,"2,165","1,860",1950, 1 , B1 ,$0,3/21/2011
3,BATH BEACH               ,02  TWO FAMILY HOMES                        ,1,6461,198, ,B3, 8891 16TH AVENUE                          ,            ,11214,2,0,2,"2,357","1,860",1940, 1 , B3 ,"$615,000",7/6/2011
